,Name,Institution1,Institution2
279,John  Creedy ,"Victoria Business School, Victoria University of Wellington, Wellington, New Zealand",
280,Jonathan  Gruber ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
281,Jakob  de Haan ,"Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen, Groningen, Netherlands",
282,Marco  Pagano ,"Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",
283,Robert F. Stambaugh ,"Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
284,Sheridan  Titman ,"Department of Finance, McCombs School of Business, University of Texas-Austin, Austin, Texas (USA)",
285,Josh  Lerner ,"Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
286,Kym  Anderson ,"School of Economics, University of Adelaide, Adelaide, Australia",
287,Serena  Ng ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
288,Allan H. Meltzer †,,
289,Badi H. Baltagi ,"Department of Economics, Maxwell School, Syracuse University, Syracuse, New York (USA)",
290,Glenn D. Rudebusch ,"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)",
291,Franklin  Allen ,"Business School, Imperial College, London, United Kingdom",
292,Muhammad  Shahbaz ,"Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology, Beijing, China",
293,Bruce D. Smith †,,
294,Thierry A. Verdier ,"Paris School of Economics, Paris, France",
295,Glenn Paul Jenkins ,"Economics Department, Queen's University, Kingston, Canada",
296,Roger B. Myerson ,"Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",
297,Adrian Rodney Pagan ,"School of Economics, Faculty of Arts and Social Sciences, University of Sydney, Sydney, Australia","Centre for Applied Macroeconomic Analysis (CAMA), Crawford School of Public Policy, Australian National University, Canberra, Australia"
298,Giovanni  Peri ,"Economics Department, University of California-Davis, Davis, California (USA)",
299,Luis Alberiko Gil-Alana ,"Facultad de Ciencias Económicas y Empresariales, Universidad de Navarra, Pamplona, Spain","Navarra Center for International Development, Universidad de Navarra, Pamplona, Spain"
300,Mark P. Taylor ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",
301,Michael B. Devereux ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
302,Marcel  Fafchamps ,"Freeman Spogli Institute for International Studies, Stanford University, Stanford, California (USA)",
303,Yuriy  Gorodnichenko ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
304,Frederick (Rick)  van der Ploeg ,"Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom","Department of Economics, Oxford University, Oxford, United Kingdom"
305,Ravi  Kanbur ,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)","Department of Economics, Cornell University, Ithaca, New York (USA)"
306,Valerie Ann Ramey ,"Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",
307,John  Moore ,"School of Economics, University of Edinburgh, Edinburgh, United Kingdom",
308,George J. Stigler †,,
309,Gert G. Wagner ,"Forschungsbasierte Infrastruktureinrichtung ""Sozio-oekonomisches Panel (SOEP)"", DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
310,Christopher  Carroll ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
311,Markus K. Brunnermeier ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)",
312,Mohsen  Bahmani-Oskooee ,"Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",
313,Peter  Schmidt ,"Economics Department, Michigan State University, East Lansing, Michigan (USA)",
314,Emmanuel  Farhi ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
315,Walter Erwin Diewert ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
316,Joseph G. Altonji ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
317,Dale T. Mortensen †,,
318,Ariel  Rubinstein ,"Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",
319,Anil K Kashyap ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
320,Steven J. Davis ,"Applied Economics Workshop, Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
321,François J. Bourguignon ,"Paris School of Economics, Paris, France",
322,Kenneth L. Judd ,"Hoover Institution on War Revolution &amp; Peace, Stanford University, Stanford, California (USA)",
323,Debraj  Ray ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
324,Gary  Gorton ,"School of Management, Yale University, New Haven, Connecticut (USA)",
325,Simeon  Djankov ,"Finance Department, London School of Economics (LSE), London, United Kingdom","Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)"
326,Martin James Browning ,"Department of Economics, Oxford University, Oxford, United Kingdom",
327,Anjan V. Thakor ,"Olin School of Business, Washington University in St. Louis, St. Louis, Missouri (USA)",
328,Ludger  Woessmann ,"ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",
329,Matthew E. Kahn ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",
330,Viral V. Acharya ,"Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
331,Giancarlo  Corsetti ,"Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",
332,Charles Raymond Plott ,"Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",
333,Michael  Grossman ,"Department of Economics, Graduate Center, City University of New York (CUNY), New York City, New York (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
334,Andrew  Clark ,"Paris School of Economics, Paris, France",
335,William H Greene ,"Economics Department, Stern School of Business, New York University (NYU), New York City, New York (USA)",
336,Jason  Shogren ,"Department of Economics, College of Business, University of Wyoming, Laramie, Wyoming (USA)",
337,Giovanni  Dosi ,"Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",
338,Tullio  Jappelli ,"Centro Studi di Economia e Finanza (CSEF), Napoli, Italy",
339,Richard  Schmalensee ,"Center for Energy and Environmental Policy Research (CEEPR), Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
340,Christian S. Gourieroux ,"Department of Economics, University of Toronto, Toronto, Canada",
341,Paul  Klemperer ,,
342,Robert Glenn Hubbard ,"Graduate School of Business, Columbia University, New York City, New York (USA)",
343,John C. Williams ,"Research and Statistics Group, Federal Reserve Bank of New York, New York City, New York (USA)","Federal Reserve Bank of New York, New York City, New York (USA)"
344,Edward E. Leamer ,"Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)","Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)"
345,Simon  Gächter ,"Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom",
346,Stephen Roy Bond ,"Institute for Fiscal Studies (IFS), London, United Kingdom",
347,Marcel  Fratzscher ,"DIW Berlin (Deutsches Institut für Wirtschaftsforschung), Berlin, Germany",
348,Michael  Greenstone ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
349,Alan  Manning ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",
350,Norman V. Loayza ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
351,Jong-Wha  Lee ,"Department of Economics, Korea University, Seoul, South Korea",
352,Laurence  Ball ,"Department of Economics, Johns Hopkins University, Baltimore, Maryland (USA)",
353,Stephanie  Schmitt-Grohe ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
354,Hal Ronald Varian ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
355,J. Peter  Neary ,"Department of Economics, Oxford University, Oxford, United Kingdom",
356,Simon  Gilchrist ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
357,Charles R. Nelson ,"Department of Economics, University of Washington, Seattle, Washington (USA)",
358,Fabio  Canova ,"Department of Economics, European University Institute, Firenze, Italy",
359,John C. Quiggin ,"Risk and Sustainable Management Group (RSMG), School of Economics, University of Queensland, Brisbane, Australia",
360,Philip Hans  Franses ,"Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",
361,Carl  Shapiro ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
362,Thomas R. Palfrey ,"Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",
363,Olivia S. Mitchell ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Pension Research Council, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)"
364,Lucrezia  Reichlin ,"Department of Economics, London Business School (LBS), London, United Kingdom","Centre for Economic Policy Research (CEPR), London, United Kingdom"
365,Narayana  Kocherlakota ,"Economics Department, University of Rochester, Rochester, New York (USA)",
366,Anne  Case ,"Department of Economics, Princeton University, Princeton, New Jersey (USA)","Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)"
367,Harvey  Rosen ,"Griswold Center for Economic Policy Studies, Department of Economics, Princeton University, Princeton, New Jersey (USA)",
368,David  Hirshleifer ,"Paul Merage School of Business, University of California-Irvine, Irvine, California (USA)",
369,Jorn-Steffen  Pischke ,"Economics Department, London School of Economics (LSE), London, United Kingdom",
370,Timothy J. Kehoe ,"Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",
371,David M. Cutler ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
372,Ivo  Welch ,,
373,Gary  Koop ,"Economics Department, University of Strathclyde, Glasgow, United Kingdom",
374,Ricardo  Reis ,"Economics Department, London School of Economics (LSE), London, United Kingdom",
375,Kenneth  Singleton ,"Graduate School of Business, Stanford University, Stanford, California (USA)",
376,Varadarajan  Chari ,"Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)","Research Department, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (USA)"
377,Richard H. Clarida ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
378,Robert  Shimer ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
379,George  Loewenstein ,"Department of Social and Decision Sciences, Carnegie Mellon University, Pittsburgh, Pennsylvania (USA)",
380,Johan  Swinnen ,"LICOS Centre for Institutions and Economic Performance, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium",
381,G. William Schwert ,"William E. Simon Graduate School of Business Administration, University of Rochester, Rochester, New York (USA)",
382,Menzie  Chinn ,"Robert M. La Follette School of Public Affairs, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
383,Takatoshi  Ito ,"School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",
384,Christopher B. Barrett ,"Charles H. Dyson School of Applied Economics and Management, Cornell University, Ithaca, New York (USA)",
385,Matthew D. Shapiro ,"Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",
